country_identifier,country_name,country_url
Algeria,Algeria,https://www.africa-confidential.com/browse-by-country/id/1/Algeria
Angola,Angola,https://www.africa-confidential.com/browse-by-country/id/2/Angola
Benin,Benin,https://www.africa-confidential.com/browse-by-country/id/3/Benin
Botswana,Botswana,https://www.africa-confidential.com/browse-by-country/id/4/Botswana
Burkina+Faso,Burkina Faso,https://www.africa-confidential.com/browse-by-country/id/5/Burkina+Faso
Burundi,Burundi,https://www.africa-confidential.com/browse-by-country/id/6/Burundi
Cabo+Verde,Cabo Verde,https://www.africa-confidential.com/browse-by-country/id/8/Cabo+Verde
Cameroon,Cameroon,https://www.africa-confidential.com/browse-by-country/id/7/Cameroon
Central+African+Republic,Central African Republic,https://www.africa-confidential.com/browse-by-country/id/9/Central+African+Republic
Chad,Chad,https://www.africa-confidential.com/browse-by-country/id/10/Chad
Comoros,Comoros,https://www.africa-confidential.com/browse-by-country/id/11/Comoros
Congo-Brazzaville,Congo-Brazzaville,https://www.africa-confidential.com/browse-by-country/id/12/Congo-Brazzaville
Congo-Kinshasa,Congo-Kinshasa,https://www.africa-confidential.com/browse-by-country/id/53/Congo-Kinshasa
C%c3%b4te+d%27Ivoire,Côte d'Ivoire,https://www.africa-confidential.com/browse-by-country/id/13/C%c3%b4te+d%27Ivoire
Djibouti,Djibouti,https://www.africa-confidential.com/browse-by-country/id/15/Djibouti
Egypt,Egypt,https://www.africa-confidential.com/browse-by-country/id/16/Egypt
Equatorial+Guinea,Equatorial Guinea,https://www.africa-confidential.com/browse-by-country/id/17/Equatorial+Guinea
Eritrea,Eritrea,https://www.africa-confidential.com/browse-by-country/id/18/Eritrea
Eswatini,Eswatini,https://www.africa-confidential.com/browse-by-country/id/47/Eswatini
Ethiopia,Ethiopia,https://www.africa-confidential.com/browse-by-country/id/19/Ethiopia
Gabon,Gabon,https://www.africa-confidential.com/browse-by-country/id/20/Gabon
Gambia,Gambia,https://www.africa-confidential.com/browse-by-country/id/21/Gambia
Ghana,Ghana,https://www.africa-confidential.com/browse-by-country/id/22/Ghana
Guinea,Guinea,https://www.africa-confidential.com/browse-by-country/id/23/Guinea
Guinea+Bissau,Guinea Bissau,https://www.africa-confidential.com/browse-by-country/id/24/Guinea+Bissau
Kenya,Kenya,https://www.africa-confidential.com/browse-by-country/id/25/Kenya
Lesotho,Lesotho,https://www.africa-confidential.com/browse-by-country/id/26/Lesotho
Liberia,Liberia,https://www.africa-confidential.com/browse-by-country/id/27/Liberia
Libya,Libya,https://www.africa-confidential.com/browse-by-country/id/28/Libya
Madagascar,Madagascar,https://www.africa-confidential.com/browse-by-country/id/29/Madagascar
Malawi,Malawi,https://www.africa-confidential.com/browse-by-country/id/30/Malawi
Mali,Mali,https://www.africa-confidential.com/browse-by-country/id/31/Mali
Mauritania,Mauritania,https://www.africa-confidential.com/browse-by-country/id/32/Mauritania
Mauritius,Mauritius,https://www.africa-confidential.com/browse-by-country/id/33/Mauritius
Morocco,Morocco,https://www.africa-confidential.com/browse-by-country/id/34/Morocco
Mozambique,Mozambique,https://www.africa-confidential.com/browse-by-country/id/35/Mozambique
Namibia,Namibia,https://www.africa-confidential.com/browse-by-country/id/36/Namibia
Niger,Niger,https://www.africa-confidential.com/browse-by-country/id/37/Niger
Nigeria,Nigeria,https://www.africa-confidential.com/browse-by-country/id/38/Nigeria
Rwanda,Rwanda,https://www.africa-confidential.com/browse-by-country/id/39/Rwanda
S%c3%a3o+Tom%c3%a9+%26+Pr%c3%adncipe,São Tomé & Príncipe,https://www.africa-confidential.com/browse-by-country/id/40/S%c3%a3o+Tom%c3%a9+%26+Pr%c3%adncipe
Senegal,Senegal,https://www.africa-confidential.com/browse-by-country/id/41/Senegal
Seychelles,Seychelles,https://www.africa-confidential.com/browse-by-country/id/42/Seychelles
Sierra+Leone,Sierra Leone,https://www.africa-confidential.com/browse-by-country/id/43/Sierra+Leone
Somalia,Somalia,https://www.africa-confidential.com/browse-by-country/id/44/Somalia
South+Africa,South Africa,https://www.africa-confidential.com/browse-by-country/id/45/South+Africa
South+Sudan,South Sudan,https://www.africa-confidential.com/browse-by-country/id/62/South+Sudan
Sudan,Sudan,https://www.africa-confidential.com/browse-by-country/id/46/Sudan
Tanzania,Tanzania,https://www.africa-confidential.com/browse-by-country/id/48/Tanzania
Togo,Togo,https://www.africa-confidential.com/browse-by-country/id/49/Togo
Tunisia,Tunisia,https://www.africa-confidential.com/browse-by-country/id/50/Tunisia
Uganda,Uganda,https://www.africa-confidential.com/browse-by-country/id/51/Uganda
Western+Sahara,Western Sahara,https://www.africa-confidential.com/browse-by-country/id/52/Western+Sahara
Zambia,Zambia,https://www.africa-confidential.com/browse-by-country/id/54/Zambia
Zimbabwe,Zimbabwe,https://www.africa-confidential.com/browse-by-country/id/55/Zimbabwe
